reference_doi,lipid_molar_ratio,ionizable_lipid_name,encapsulation_efficiency_percent_std_num,np_ratio_std_num,buffer_ph_std_num,cargo_type,helper_lipid_name,peg_lipid_name,particle_size_nm_std_num,pdi_std_num,zeta_potential_mv_std_num,ionizable_lipid_smiles,source_note,source,confidence,evidence,title,chem_warnings,pmcid,ee_is_approximate
10.1073/pnas.2303567120,50:10:38.5:1.5,DLin-MC3-DMA,85,,,mRNA,DSPC,DMG-PEG2000,,,,CCCCC/C=C\C/C=C\CCCCCCCCC(OC(=O)CCCN(C)C)CCCCCCCC/C=C\C/C=C\CCCCC,LNP_Atlas_DB_202509_v1 원본 927행 [수리됨],,,,,,,
10.1073/pnas.2303567120,50:10:38.5:1.5,DLin-MC3-DMA,85,,,mRNA,DSPC,DMG-PEG2000,,,,CCCCC/C=C\C/C=C\CCCCCCCCC(OC(=O)CCCN(C)C)CCCCCCCC/C=C\C/C=C\CCCCC,LNP_Atlas_DB_202509_v1 원본 928행 [수리됨],,,,,,,
10.1021/acs.nanolett.5b02497,40:28:28.5:3.5,C12-200,32,,,mRNA,DOPE,C14-PEG2000,85,0.208,,NCCN1CCN(CCN(CC(O)CCCCCCCCCCCC)CC(O)CCCCCCCCCCCC)CC1CN(CC(O)CCCCCCCCCCCC)CN(CC(O)CCCCCCCCCCCC)CC(O)CCCCCCCCCCCC,LNP_Atlas_DB_202509_v1 원본 92행 [수리됨],,,,,,,
10.1073/pnas.2303567120,50:10:38.5:1.5,DLin-MC3-DMA,60,,,mRNA,DSPC,DMG-PEG2000,160,,,CCCCC/C=C\C/C=C\CCCCCCCCC(OC(=O)CCCN(C)C)CCCCCCCC/C=C\C/C=C\CCCCC,LNP_Atlas_DB_202509_v1 원본 930행 [수리됨],,,,,,,
10.1248/cpb.c24-00089,50:10:38.5:1.5,L202,35,,,mRNA,DSPC,DMG-PEG2000,77,0.05,,CCCCCCCCCCC(CCCCCCCCC(=O)OCCC(CCCCC)CCCCC)COC(=O)C1CCN(CC1)C,LNP_Atlas_DB_202509_v1 원본 931행,,,,,,,
10.1248/cpb.c24-00089,50:10:38.5:1.5,L202,96,,,mRNA,DSPC,DMG-PEG2000,83,0.121,,CCCCCCCCCCC(CCCCCCCCC(=O)OCCC(CCCCC)CCCCC)COC(=O)C1CCN(CC1)C,LNP_Atlas_DB_202509_v1 원본 932행,,,,,,,
10.1248/cpb.c24-00089,50:10:38.5:1.5,L202,96,,,mRNA,DSPC,DMG-PEG2000,77,0.081,,CCCCCCCCCCC(CCCCCCCCC(=O)OCCC(CCCCC)CCCCC)COC(=O)C1CCN(CC1)C,LNP_Atlas_DB_202509_v1 원본 933행,,,,,,,
10.1248/cpb.c24-00089,50:10:38.5:1.5,L202,97,,,mRNA,DSPC,DMG-PEG2000,200,0.058,,CCCCCCCCCCC(CCCCCCCCC(=O)OCCC(CCCCC)CCCCC)COC(=O)C1CCN(CC1)C,LNP_Atlas_DB_202509_v1 원본 934행,,,,,,,
10.1248/cpb.c24-00089,50:10:38.5:1.5,L202,97,,,mRNA,DSPC,DMG-PEG2000,186,0.072,,CCCCCCCCCCC(CCCCCCCCC(=O)OCCC(CCCCC)CCCCC)COC(=O)C1CCN(CC1)C,LNP_Atlas_DB_202509_v1 원본 935행,,,,,,,
10.1248/cpb.c24-00089,50:10:38.5:1.5,L202,96,,,mRNA,DSPC,DMG-PEG2000,81,0.109,,CCCCCCCCCCC(CCCCCCCCC(=O)OCCC(CCCCC)CCCCC)COC(=O)C1CCN(CC1)C,LNP_Atlas_DB_202509_v1 원본 936행,,,,,,,
10.1248/cpb.c24-00089,50:10:38.5:1.5,L202,96,,,mRNA,DSPC,DMG-PEG2000,109,0.053,,CCCCCCCCCCC(CCCCCCCCC(=O)OCCC(CCCCC)CCCCC)COC(=O)C1CCN(CC1)C,LNP_Atlas_DB_202509_v1 원본 937행,,,,,,,
10.1248/cpb.c24-00089,50:10:38.5:1.5,L202,92,,,mRNA,DSPC,DMG-PEG2000,139,0.057,,CCCCCCCCCCC(CCCCCCCCC(=O)OCCC(CCCCC)CCCCC)COC(=O)C1CCN(CC1)C,LNP_Atlas_DB_202509_v1 원본 938행,,,,,,,
10.1248/cpb.c24-00089,50:10:38.5:1.5,L202,97,,,mRNA,DSPC,DMG-PEG2000,199,0.062,,CCCCCCCCCCC(CCCCCCCCC(=O)OCCC(CCCCC)CCCCC)COC(=O)C1CCN(CC1)C,LNP_Atlas_DB_202509_v1 원본 939행,,,,,,,
10.1021/acs.nanolett.5b02497,35:22:40:3,C12-200,39,,,mRNA,DOPE,C14-PEG2000,96,0.154,,NCCN1CCN(CCN(CC(O)CCCCCCCCCCCC)CC(O)CCCCCCCCCCCC)CC1CN(CC(O)CCCCCCCCCCCC)CN(CC(O)CCCCCCCCCCCC)CC(O)CCCCCCCCCCCC,LNP_Atlas_DB_202509_v1 원본 93행 [수리됨],,,,,,,
10.1002/adma.201505822,35:16:46.5:2.5,cKK-E12,54,,,mRNA,DOPE,C14-PEG2000,83,0.217,,CCCCCCCCCCCC(O)CN1CCCCC(C(=O)NC2CCCCCNC(=O)C3N(CC(O)CCCCCCCCCCCC)CCC(CC3)N(CC(O)CCCCCCCCCCCC)CC(O)CCCCCCCCCCCC)C1,LNP_Atlas_DB_202509_v1 원본 940행,,,,,,,
10.1002/adma.201505822,35:16:46.5:2.5,Custom lipid,74,,,mRNA,DOPE,C14-PEG2000,92,0.147,,CCCCCCCCC/C=C\CCCCCCCC(O)CN1C(=O)C(CCCCN(CC(O)CCCCCCC/C=C\CCCCCCCCC)CC(O)CCCCCCC/C=C\CCCCCCCCC)NC(=O)C(CCCCN(CC(O)CCCCCCC/C=C\CCCCCCCCC)CC(O)CCCCCCC/C=C\CCCCCCCCC)N1,LNP_Atlas_DB_202509_v1 원본 941행,,,,,,,
10.1002/adma.201505822,35:16:46.5:2.5,Custom lipid,81,,,mRNA,DOPE,C14-PEG2000,78,0.194,,CCCCCCCCC/C=C/CCCCCCCC(O)CN1C(=O)C(CCCCN(CC(O)CCCCCCC/C=C/CCCCCCCCC)CC(O)CCCCCCC/C=C/CCCCCCCCC)NC(=O)C(CCCCN(CC(O)CCCCCCC/C=C/CCCCCCCCC)CC(O)CCCCCCC/C=C/CCCCCCCCC)N1,LNP_Atlas_DB_202509_v1 원본 942행,,,,,,,
10.1002/adma.201505822,35:16:46.5:2.5,OF-02,55,,,mRNA,DOPE,C14-PEG2000,122,0.13,,CCCCC/C=C\C/C=C\CCCCCCC(O)CN(CC(O)CCCCCC/C=C\C/C=C\CCCCC)CCCCC1NC(=O)C(NC1=O)CCCCN(CC(O)CCCCCC/C=C\C/C=C\CCCCC)CC(O)CCCCCC/C=C\C/C=C\CCCCC,LNP_Atlas_DB_202509_v1 원본 943행,,,,,,,
10.1002/adma.201505822,35:16:46.5:2.5,Custom lipid,76,,,mRNA,DOPE,C14-PEG2000,75,0.239,,CCC/C=C\C/C=C\C/C=C\CCCCCCCC(O)CN1C(=O)C(CCCCN(CC(O)CCCCCCC/C=C\C/C=C\C/C=C\CCC)CC(O)CCCCCCC/C=C\C/C=C\C/C=C\CCC)NC(=O)C(CCCCN(CC(O)CCCCCCC/C=C\C/C=C\C/C=C\CCC)CC(O)CCCCCCC/C=C\C/C=C\C/C=C\CCC)N1,LNP_Atlas_DB_202509_v1 원본 944행,,,,,,,
10.1038/s41467-020-16248-y,35:16:46.5:2.5,cKK-E12,65.5,,,mRNA,DOPE,C14-PEG2000,86.7,0.17,5.5,CCCCCCCCCCCC(O)CN1CCCCC(C(=O)NC2CCCCCNC(=O)C3N(CC(O)CCCCCCCCCCCC)CCC(CC3)N(CC(O)CCCCCCCCCCCC)CC(O)CCCCCCCCCCCC)C1,LNP_Atlas_DB_202509_v1 원본 945행,,,,,,,
10.1038/s41467-020-16248-y,35:16:46.5:2.5,Custom lipid,75.2,,,mRNA,DOPE,C14-PEG2000,85,0.1,1.1,,LNP_Atlas_DB_202509_v1 원본 946행,,,,,,,
10.1038/s41467-020-16248-y,35:16:46.5:2.5,Custom lipid,72.5,,,mRNA,DOPE,C14-PEG2000,99.5,0.07,2.1,CCCCCCCCCCCC(O)CN1CCCCC(C(=O)NC2CCCCCNC(=O)C3N(CC(O)CCCCCCCCCCCC)CCC(CC3)N(CC(O)CCCCCCCCCCCC)CC(O)CCCCCCCCCCCC)C1,LNP_Atlas_DB_202509_v1 원본 947행,,,,,,,
10.1038/s41587-019-0247-3,38.4615:17.5824:41.2088:2.74725,A2-Iso5-2DC18,77,,,mRNA,DOPE,C14-PEG2000,99.9,0.145,4.36,CCCCCCCC/C=C\CCCCCCCC1(N(C(N=C1)C(=O)OCC)CCCN2CCCC2)CCCCCCC/C=C\CCCCCCCC,LNP_Atlas_DB_202509_v1 원본 948행 [수리됨],,,,,,,
10.1038/s41587-019-0247-3,38.4615:17.5824:41.2088:2.74725,A12-Iso5-2DC18,68.4,,,mRNA,DOPE,C14-PEG2000,87.9,0.135,4.85,CCCCCCCC/C=C\CCCCCCCC1(N(C(N=C1)C(=O)OCC)CCCN(C)C)CCCCCCC/C=C\CCCCCCCC,LNP_Atlas_DB_202509_v1 원본 949행 [수리됨],,,,,,,
10.1021/acs.nanolett.5b02497,35:28:34.5:2.5,C12-200,58,,,mRNA,DSPC,C14-PEG2000,109,0.303,,NCCN1CCN(CCN(CC(O)CCCCCCCCCCCC)CC(O)CCCCCCCCCCCC)CC1CN(CC(O)CCCCCCCCCCCC)CN(CC(O)CCCCCCCCCCCC)CC(O)CCCCCCCCCCCC,LNP_Atlas_DB_202509_v1 원본 94행 [수리됨],,,,,,,
10.1038/s41587-019-0247-3,38.4615:17.5824:41.2088:2.74725,Custom lipid,61.2,,,mRNA,DOPE,C14-PEG2000,86.9,0.205,8.37,CCOC(=O)C1=NC(CCCCCCCCC=CCCCCCCCC)(CCCCCCCCC=CCCCCCCCC)CN1CCCN1CCCCC1,LNP_Atlas_DB_202509_v1 원본 950행 [수리됨],,,,,,,
10.1038/s41587-019-0247-3,38.4615:17.5824:41.2088:2.74725,Custom lipid,63.4,,,mRNA,DOPE,C14-PEG2000,89.6,0.159,4.54,CCOC(=O)C1=NC(CCCCCCCCC=CCCCCCCCC)(CCCCCCCCC=CCCCCCCCC)CN1CCCN1CC(C)CCC1CC,LNP_Atlas_DB_202509_v1 원본 951행 [수리됨],,,,,,,
10.1038/s41587-019-0247-3,38.4615:17.5824:41.2088:2.74725,A18-Iso5-2DC18,67.6,,,mRNA,DOPE,C14-PEG2000,95.9,0.166,6.41,CCCCCCCC/C=C\CCCCCCCC1(N(C(N=C1)C(=O)OCC)CCCN2C(CCCC2)CC)CCCCCCC/C=C\CCCCCCCC,LNP_Atlas_DB_202509_v1 원본 952행 [수리됨],,,,,,,
10.1038/s41587-019-0247-3,38.4615:17.5824:41.2088:2.74725,Custom lipid,61.2,,,mRNA,DOPE,C14-PEG2000,97.9,0.125,4.37,CCOC(=O)C1=NC(CCCCCCCCC=CCCCCCCCC)(CCCCCCCCC=CCCCCCCCC)CN1CCCN1CCCCCC1,LNP_Atlas_DB_202509_v1 원본 953행 [수리됨],,,,,,,
10.1038/s41587-019-0247-3,38.4615:17.5824:41.2088:2.74725,Custom lipid,67.2,,,mRNA,DOPE,C14-PEG2000,92.4,0.176,5.51,CCOC(=O)C1=NC(CCCCCCCCC=CCCCCCCCC)(CCCCCCCCC=CCCCCCCCC)CN1CCCN(CC)CC,LNP_Atlas_DB_202509_v1 원본 954행 [수리됨],,,,,,,
10.1038/s41587-019-0247-3,38.4615:17.5824:41.2088:2.74725,Custom lipid,67.5,,,mRNA,DOPE,C14-PEG2000,95.9,0.21,6.41,CCOC(=O)C1=NC(CCCCCCCCC=CCCCCCCCC)(CCCCCCCCC=CCCCCCCCC)CN1CCCN(CCCC)CCCC,LNP_Atlas_DB_202509_v1 원본 955행 [수리됨],,,,,,,
10.1038/s41587-019-0247-3,38.4615:17.5824:41.2088:2.74725,Custom lipid,67.8,,,mRNA,DOPE,C14-PEG2000,92.3,0.197,5.36,CCOC(=O)C1=NC(CCCCCCCCC=CCCCCCCCC)(CCCCCCCCC=CCCCCCCCC)CN1CCCN(CCC)CCC,LNP_Atlas_DB_202509_v1 원본 956행 [수리됨],,,,,,,
10.1038/s41587-019-0247-3,38.4615:17.5824:41.2088:2.74725,DLin-MC3-DMA,50,,,mRNA,DOPE,C14-PEG2000,80,0.3,,CCCCC/C=C\C/C=C\CCCCCCCCC(OC(=O)CCCN(C)C)CCCCCCCC/C=C\C/C=C\CCCCC,LNP_Atlas_DB_202509_v1 원본 957행 [수리됨],,,,,,,
10.1038/s41587-019-0247-3,45:10:42.5:2.5,A2-Iso5-2DC18,45.5,,,mRNA,DOPE,C14-PEG2000,87.6,0.2,,CCCCCCCC/C=C\CCCCCCCC1(N(C(N=C1)C(=O)OCC)CCCN2CCCC2)CCCCCCC/C=C\CCCCCCCC,LNP_Atlas_DB_202509_v1 원본 958행 [수리됨],,,,,,,
10.1038/s41587-019-0247-3,35:25:37.5:2.5,A2-Iso5-2DC18,61.3,,,mRNA,DOPE,C14-PEG2000,99.9,0.1,,CCCCCCCC/C=C\CCCCCCCC1(N(C(N=C1)C(=O)OCC)CCCN2CCCC2)CCCCCCC/C=C\CCCCCCCC,LNP_Atlas_DB_202509_v1 원본 959행 [수리됨],,,,,,,
10.1021/acs.nanolett.5b02497,35:16:46.5:2.5,C12-200,44,,,mRNA,DOPE,C14-PEG2000,89,0.174,,NCCN1CCN(CCN(CC(O)CCCCCCCCCCCC)CC(O)CCCCCCCCCCCC)CC1CN(CC(O)CCCCCCCCCCCC)CN(CC(O)CCCCCCCCCCCC)CC(O)CCCCCCCCCCCC,LNP_Atlas_DB_202509_v1 원본 95행 [수리됨],,,,,,,
10.1038/s41587-019-0247-3,50:16:32.5:1.5,A2-Iso5-2DC18,55.3,,,mRNA,DOPE,C14-PEG2000,76.9,0.2,,CCCCCCCC/C=C\CCCCCCCC1(N(C(N=C1)C(=O)OCC)CCCN2CCCC2)CCCCCCC/C=C\CCCCCCCC,LNP_Atlas_DB_202509_v1 원본 960행 [수리됨],,,,,,,
10.1038/s41587-019-0247-3,50:16:31.1:2.9,A2-Iso5-2DC18,60.6,,,mRNA,DOPE,C14-PEG2000,101,0.2,,CCCCCCCC/C=C\CCCCCCCC1(N(C(N=C1)C(=O)OCC)CCCN2CCCC2)CCCCCCC/C=C\CCCCCCCC,LNP_Atlas_DB_202509_v1 원본 961행 [수리됨],,,,,,,
10.1038/s41587-019-0247-3,50:16:32.5:1.5,A2-Iso5-2DC18,25.5,,,mRNA,DOPE,C14-PEG2000,259.6,0.3,,CCCCCCCC/C=C\CCCCCCCC1(N(C(N=C1)C(=O)OCC)CCCN2CCCC2)CCCCCCC/C=C\CCCCCCCC,LNP_Atlas_DB_202509_v1 원본 962행 [수리됨],,,,,,,
10.1038/s41587-019-0247-3,35:7:57.5:0.5,A2-Iso5-2DC18,64.7,,,mRNA,DOPE,C14-PEG2000,115.9,0.3,,CCCCCCCC/C=C\CCCCCCCC1(N(C(N=C1)C(=O)OCC)CCCN2CCCC2)CCCCCCC/C=C\CCCCCCCC,LNP_Atlas_DB_202509_v1 원본 963행 [수리됨],,,,,,,
10.1038/s41587-019-0247-3,65:7:27.5:0.5,A2-Iso5-2DC18,57.9,,,mRNA,DOPE,C14-PEG2000,137.9,0.2,,CCCCCCCC/C=C\CCCCCCCC1(N(C(N=C1)C(=O)OCC)CCCN2CCCC2)CCCCCCC/C=C\CCCCCCCC,LNP_Atlas_DB_202509_v1 원본 964행 [수리됨],,,,,,,
10.1038/s41587-019-0247-3,65:25:7.5:2.5,A2-Iso5-2DC18,22.5,,,mRNA,DOPE,C14-PEG2000,167.9,0.2,,CCCCCCCC/C=C\CCCCCCCC1(N(C(N=C1)C(=O)OCC)CCCN2CCCC2)CCCCCCC/C=C\CCCCCCCC,LNP_Atlas_DB_202509_v1 원본 965행 [수리됨],,,,,,,
10.1038/s41587-019-0247-3,50:16:32.5:1.5,A2-Iso5-2DC18,96.4,,,mRNA,DOPE,C14-PEG2000,122.4,0.3,,CCCCCCCC/C=C\CCCCCCCC1(N(C(N=C1)C(=O)OCC)CCCN2CCCC2)CCCCCCC/C=C\CCCCCCCC,LNP_Atlas_DB_202509_v1 원본 966행 [수리됨],,,,,,,
10.1038/s41587-019-0247-3,50:16:32.5:1.5,A2-Iso5-2DC18,59.5,,,mRNA,DOPE,C14-PEG2000,95.9,0.2,,CCCCCCCC/C=C\CCCCCCCC1(N(C(N=C1)C(=O)OCC)CCCN2CCCC2)CCCCCCC/C=C\CCCCCCCC,LNP_Atlas_DB_202509_v1 원본 967행 [수리됨],,,,,,,
10.1038/s41587-019-0247-3,71.2:16:11.3:1.5,A2-Iso5-2DC18,56.4,,,mRNA,DOPE,C14-PEG2000,72.3,0.2,,CCCCCCCC/C=C\CCCCCCCC1(N(C(N=C1)C(=O)OCC)CCCN2CCCC2)CCCCCCC/C=C\CCCCCCCC,LNP_Atlas_DB_202509_v1 원본 968행 [수리됨],,,,,,,
10.1038/s41587-019-0247-3,50:16:32.5:1.5,A2-Iso5-2DC18,68.1,,,mRNA,DOPE,C14-PEG2000,94,0.2,,CCCCCCCC/C=C\CCCCCCCC1(N(C(N=C1)C(=O)OCC)CCCN2CCCC2)CCCCCCC/C=C\CCCCCCCC,LNP_Atlas_DB_202509_v1 원본 969행 [수리됨],,,,,,,
10.1021/acs.nanolett.5b02497,30:22:44.5:3.5,C12-200,57,,,mRNA,DSPC,C14-PEG2000,74,0.328,,NCCN1CCN(CCN(CC(O)CCCCCCCCCCCC)CC(O)CCCCCCCCCCCC)CC1CN(CC(O)CCCCCCCCCCCC)CN(CC(O)CCCCCCCCCCCC)CC(O)CCCCCCCCCCCC,LNP_Atlas_DB_202509_v1 원본 96행 [수리됨],,,,,,,
10.1038/s41587-019-0247-3,28.8:16:53.7:1.5,A2-Iso5-2DC18,64.3,,,mRNA,DOPE,C14-PEG2000,84.9,0.2,,CCCCCCCC/C=C\CCCCCCCC1(N(C(N=C1)C(=O)OCC)CCCN2CCCC2)CCCCCCC/C=C\CCCCCCCC,LNP_Atlas_DB_202509_v1 원본 970행 [수리됨],,,,,,,
10.1038/s41587-019-0247-3,65:7:25.5:2.5,A2-Iso5-2DC18,57.2,,,mRNA,DOPE,C14-PEG2000,127.8,0.2,,CCCCCCCC/C=C\CCCCCCCC1(N(C(N=C1)C(=O)OCC)CCCN2CCCC2)CCCCCCC/C=C\CCCCCCCC,LNP_Atlas_DB_202509_v1 원본 971행 [수리됨],,,,,,,
10.1038/s41587-019-0247-3,50:16:32.5:1.5,A2-Iso5-2DC18,57.5,,,mRNA,DOPE,C14-PEG2000,84.9,0.2,,CCCCCCCC/C=C\CCCCCCCC1(N(C(N=C1)C(=O)OCC)CCCN2CCCC2)CCCCCCC/C=C\CCCCCCCC,LNP_Atlas_DB_202509_v1 원본 972행 [수리됨],,,,,,,
10.1038/s41587-019-0247-3,35:7:55.5:2.5,A2-Iso5-2DC18,65.2,,,mRNA,DOPE,C14-PEG2000,108.7,0.1,,CCCCCCCC/C=C\CCCCCCCC1(N(C(N=C1)C(=O)OCC)CCCN2CCCC2)CCCCCCC/C=C\CCCCCCCC,LNP_Atlas_DB_202509_v1 원본 973행 [수리됨],,,,,,,
10.1038/s41587-019-0247-3,50:1.5:45.2:3.3,A2-Iso5-2DC18,21.7,,,mRNA,DOPE,C14-PEG2000,94.9,0.3,,CCCCCCCC/C=C\CCCCCCCC1(N(C(N=C1)C(=O)OCC)CCCN2CCCC2)CCCCCCC/C=C\CCCCCCCC,LNP_Atlas_DB_202509_v1 원본 974행 [수리됨],,,,,,,
10.1038/s41587-019-0247-3,50:16:32.5:1.5,A2-Iso5-2DC18,70.2,,,mRNA,DOPE,C14-PEG2000,91.8,0.2,,CCCCCCCC/C=C\CCCCCCCC1(N(C(N=C1)C(=O)OCC)CCCN2CCCC2)CCCCCCC/C=C\CCCCCCCC,LNP_Atlas_DB_202509_v1 원본 975행 [수리됨],,,,,,,
10.1038/s41587-019-0247-3,35:25:39.5:0.5,A2-Iso5-2DC18,53.9,,,mRNA,DOPE,C14-PEG2000,129.4,0.2,,CCCCCCCC/C=C\CCCCCCCC1(N(C(N=C1)C(=O)OCC)CCCN2CCCC2)CCCCCCC/C=C\CCCCCCCC,LNP_Atlas_DB_202509_v1 원본 976행 [수리됨],,,,,,,
10.1038/s41587-019-0247-3,50:28.7:19.8:1.5,A2-Iso5-2DC18,41.3,,,mRNA,DOPE,C14-PEG2000,83.2,0.3,,CCCCCCCC/C=C\CCCCCCCC1(N(C(N=C1)C(=O)OCC)CCCN2CCCC2)CCCCCCC/C=C\CCCCCCCC,LNP_Atlas_DB_202509_v1 원본 977행 [수리됨],,,,,,,
10.1038/s41587-019-0247-3,65:25:9.5:0.5,A2-Iso5-2DC18,98.9,,,mRNA,DOPE,C14-PEG2000,110.7,0.1,,CCCCCCCC/C=C\CCCCCCCC1(N(C(N=C1)C(=O)OCC)CCCN2CCCC2)CCCCCCC/C=C\CCCCCCCC,LNP_Atlas_DB_202509_v1 원본 978행 [수리됨],,,,,,,
10.1038/s41587-019-0247-3,50:16:33.9:0.1,A2-Iso5-2DC18,9.4,,,mRNA,DOPE,C14-PEG2000,154.9,0.1,,CCCCCCCC/C=C\CCCCCCCC1(N(C(N=C1)C(=O)OCC)CCCN2CCCC2)CCCCCCC/C=C\CCCCCCCC,LNP_Atlas_DB_202509_v1 원본 979행 [수리됨],,,,,,,
